Round,player,opponent,player_hand,player_ht,player_age,opponent_hand,opponent_ht,opponent_age,win,player_rank,opponent_rank,is_player_home_country,is_opponent_home_country,year,month,day,dayofweek
Round of 128,Thompson J.,Ymer E.,R,183.0,24.6,R,183.0,22.8,1,43.0,108.0,False,False,2017,1,1,6
Round of 128,Mahut N.,Robert S.,R,190.0,37.3,R,185.0,39.6,1,38.0,53.0,False,False,2017,1,2,0
Round of 128,Ferrer D.,Tomic B.,R,175.0,36.7,R,193.0,26.2,1,21.0,26.0,False,False,2017,1,2,0
Round of 128,Edmund K.,Escobedo E.,R,188.0,24.1,R,185.0,23.1,1,14.0,69.0,False,False,2017,1,2,0
Round of 128,Dimitrov G.,Johnson S.,R,188.0,27.6,R,188.0,29.0,1,3.0,25.0,False,True,2017,1,2,0
Round of 128,Donaldson J.,Muller G.,R,188.0,22.3,L,193.0,41.0,1,48.0,21.0,True,False,2017,1,3,1
Round of 128,Pouille L.,Simon G.,R,185.0,24.8,R,183.0,34.0,1,11.0,23.0,False,False,2017,1,3,1
Round of 128,Troicki V.,Nishioka Y.,R,193.0,32.9,L,170.0,23.2,1,29.0,48.0,False,False,2017,1,3,1
Round of 128,Schwartzman D.,Querrey S.,R,170.0,26.3,R,198.0,31.2,1,9.0,11.0,False,True,2017,1,3,1
Round of 64,Nishikori K.,Donaldson J.,R,178.0,29.0,R,188.0,22.3,1,4.0,48.0,False,True,2017,1,4,2
Round of 64,Thompson J.,Ferrer D.,R,183.0,24.6,R,175.0,36.7,1,43.0,21.0,False,False,2017,1,4,2
Round of 64,Edmund K.,Pouille L.,R,188.0,24.1,R,185.0,24.8,1,14.0,11.0,False,False,2017,1,4,2
Round of 64,Wawrinka S.,Troicki V.,R,183.0,33.7,R,193.0,32.9,1,3.0,29.0,False,False,2017,1,4,2
Round of 64,Dimitrov G.,Mahut N.,R,188.0,27.6,R,190.0,37.0,1,3.0,38.0,False,False,2017,1,5,3
Round of 64,Thiem D.,Groth S.,R,185.0,25.3,R,193.0,37.0,1,3.0,162.0,False,False,2017,1,5,3
Round of 64,Raonic M.,Schwartzman D.,R,196.0,28.0,R,170.0,26.3,1,3.0,9.0,False,False,2017,1,5,3
Round of 64,Nadal R.,Zverev M.,L,185.0,32.6,L,190.0,31.3,1,1.0,26.0,False,False,2017,1,5,3
Quarterfinals,Wawrinka S.,Edmund K.,R,183.0,33.7,R,188.0,23.9,1,3.0,14.0,False,False,2017,1,6,4
Quarterfinals,Nishikori K.,Thompson J.,R,178.0,29.0,R,183.0,24.6,1,4.0,43.0,False,False,2017,1,6,4
Quarterfinals,Dimitrov G.,Thiem D.,R,188.0,27.6,R,185.0,25.3,1,3.0,3.0,False,False,2017,1,6,4
Quarterfinals,Raonic M.,Nadal R.,R,196.0,28.0,L,185.0,32.6,1,3.0,1.0,False,False,2017,1,6,4
Semifinals,Nishikori K.,Wawrinka S.,R,178.0,29.0,R,183.0,33.7,1,4.0,3.0,False,False,2017,1,7,5
Semifinals,Dimitrov G.,Raonic M.,R,188.0,27.6,R,196.0,28.0,1,3.0,3.0,False,False,2017,1,7,5
The Final,Dimitrov G.,Nishikori K.,R,188.0,27.6,R,178.0,29.0,1,3.0,4.0,False,False,2017,1,8,6
Round of 128,Darcis S.,Mektic N.,R,178.0,34.8,R,183.0,30.8,1,38.0,331.0,False,False,2017,1,2,0
Round of 128,Sela D.,Dzumhur D.,R,175.0,39.0,R,172.0,26.6,1,67.0,23.0,False,False,2017,1,2,0
Round of 128,Medvedev D.,Monteiro T.,R,198.0,22.8,L,183.0,24.5,1,4.0,74.0,False,False,2017,1,2,0
Round of 128,Kovalik J.,Elias G.,R,183.0,26.7,R,183.0,34.0,1,82.0,77.0,False,False,2017,1,2,0
Round of 128,Chung H.,Coric B.,R,188.0,22.6,R,188.0,22.1,1,21.0,12.0,False,False,2017,1,2,0
Round of 128,Olivo R.,Ruud C.,R,180.0,27.9,R,183.0,20.1,1,79.0,25.0,False,False,2017,1,3,1
Round of 128,Bedene A.,Garcia-Lopez G.,R,181.0,29.5,R,185.0,41.0,1,43.0,65.0,False,False,2017,1,3,1
Round of 128,Paire B.,Kravchuk K.,R,196.0,29.6,R,191.0,39.0,1,19.0,85.0,False,False,2017,1,3,1
Round of 128,Bhambri Y.,Ramanathan R.,R,183.0,32.0,R,188.0,24.1,1,84.0,115.0,True,True,2017,1,3,1
Round of 128,Youzhny M.,Myneni S.,R,183.0,42.0,R,193.0,37.0,1,57.0,192.0,False,True,2017,1,3,1
Round of 64,Ramos-Vinolas A.,Darcis S.,L,188.0,36.0,R,178.0,34.8,1,17.0,38.0,False,False,2017,1,4,2
Round of 64,Kovalik J.,Cilic M.,R,183.0,26.7,R,198.0,30.2,1,82.0,3.0,False,False,2017,1,4,2
Round of 64,Sela D.,Chung H.,R,175.0,39.0,R,188.0,22.6,1,67.0,21.0,False,False,2017,1,4,2
Round of 64,Youzhny M.,Olivo R.,R,183.0,42.0,R,180.0,27.9,1,57.0,79.0,False,False,2017,1,5,3
Round of 64,Paire B.,Bhambri Y.,R,196.0,29.6,R,183.0,32.0,1,19.0,84.0,False,True,2017,1,5,3
Round of 64,Bedene A.,Klizan M.,R,181.0,29.5,L,190.0,29.4,1,43.0,34.0,False,False,2017,1,5,3
Quarterfinals,Medvedev D.,Kovalik J.,R,198.0,22.8,R,183.0,26.4,1,4.0,82.0,False,False,2017,1,6,4
Quarterfinals,Sela D.,Ramos-Vinolas A.,R,175.0,39.0,L,188.0,36.0,1,67.0,17.0,False,False,2017,1,6,4
Quarterfinals,Paire B.,Bedene A.,R,196.0,29.6,R,181.0,29.4,1,19.0,43.0,False,False,2017,1,6,4
Semifinals,Medvedev D.,Sela D.,R,198.0,22.8,R,175.0,34.4,1,4.0,67.0,False,False,2017,1,7,5
Round of 128,Brown D.,Bagnis F.,R,196.0,34.5,L,183.0,28.9,1,66.0,55.0,False,False,2017,1,2,0
Round of 128,Almagro N.,Lorenzi P.,R,183.0,39.0,R,183.0,37.0,1,42.0,33.0,False,False,2017,1,2,0
Round of 128,Zeballos H.,Mayer F.,L,188.0,39.0,R,191.0,41.0,1,49.0,46.0,False,False,2017,1,2,0
Round of 128,Goffin D.,Haase R.,R,180.0,28.1,R,190.0,31.7,1,7.0,35.0,False,False,2017,1,2,0
Round of 128,Stepanek R.,Baghdatis M.,R,185.0,46.0,R,183.0,33.6,1,102.0,36.0,False,False,2017,1,2,0
Round of 128,Verdasco F.,Pospisil V.,L,188.0,35.1,R,193.0,29.0,1,26.0,68.0,False,False,2017,1,2,0
Round of 128,Kohlschreiber P.,Jaziri M.,R,178.0,35.2,R,185.0,34.9,1,22.0,42.0,False,False,2017,1,3,1
Round of 128,Karlovic I.,Marchenko I.,R,208.0,39.8,R,185.0,32.0,1,20.0,74.0,False,False,2017,1,3,1
Round of 128,Murray A.,Chardy J.,R,190.0,31.6,R,188.0,31.8,1,1.0,35.0,False,False,2017,1,3,1
Round of 128,Berdych T.,Giannessi A.,R,196.0,33.2,L,183.0,28.6,1,10.0,91.0,False,False,2017,1,3,1
Round of 64,Almagro N.,Kohlschreiber P.,R,183.0,39.0,R,178.0,35.2,1,42.0,22.0,False,False,2017,1,4,2
Round of 64,Verdasco F.,Goffin D.,L,188.0,35.1,R,180.0,28.0,1,26.0,7.0,False,False,2017,1,4,2
Round of 64,Berdych T.,Vesely J.,R,196.0,33.2,L,198.0,25.4,1,10.0,46.0,False,False,2017,1,4,2
Round of 64,Djokovic N.,Zeballos H.,R,188.0,31.6,L,188.0,39.0,1,1.0,49.0,False,False,2017,1,4,2
Round of 64,Murray A.,Melzer G.,R,190.0,31.6,L,188.0,34.0,1,1.0,68.0,False,False,2017,1,4,2
Round of 64,Karlovic I.,Khachanov K.,R,208.0,39.8,R,198.0,22.6,1,20.0,8.0,False,False,2017,1,4,2
Quarterfinals,Verdasco F.,Karlovic I.,L,188.0,35.1,R,208.0,39.8,1,26.0,20.0,False,False,2017,1,5,3
Quarterfinals,Djokovic N.,Stepanek R.,R,188.0,31.6,R,185.0,46.0,1,1.0,102.0,False,False,2017,1,5,3
Quarterfinals,Murray A.,Almagro N.,R,190.0,31.6,R,183.0,39.0,1,1.0,42.0,False,False,2017,1,5,3
Semifinals,Djokovic N.,Verdasco F.,R,188.0,31.6,L,188.0,35.1,1,1.0,26.0,False,False,2017,1,6,4
Semifinals,Murray A.,Berdych T.,R,190.0,31.6,R,196.0,33.2,1,1.0,10.0,False,False,2017,1,6,4
The Final,Djokovic N.,Murray A.,R,188.0,31.6,R,190.0,31.6,1,1.0,1.0,False,False,2017,1,7,5
Round of 128,Johnson S.,Robert S.,R,188.0,29.1,R,185.0,39.6,1,25.0,53.0,False,False,2017,1,8,6
Round of 128,Haase R.,Tearney F.,R,190.0,31.7,U,183.0,34.0,1,35.0,447.0,False,True,2017,1,9,0
Round of 128,Vesely J.,Zeballos H.,L,198.0,25.4,L,188.0,39.0,1,46.0,49.0,False,False,2017,1,9,0
Round of 128,Jaziri M.,Schwartzman D.,R,185.0,34.9,R,170.0,26.3,1,42.0,9.0,False,False,2017,1,9,0
